Table S2. The 199 full text records screened with reasons for exclusion.;;;;;;;;;;;;;;
source;title;year;journal;volume;issue;pages;authors;coop_breeding_definition;data_available;territory_area;group_size_definition;decision;notes;
scopus / web of science;Multiscale habitat use and selection in cooperatively breeding micronesian kingfishers;2007;JOURNAL OF WILDLIFE MANAGEMENT;71;3;765-772;Kesler, Dylan C. and Haig, Susan M.;yes;no;NA;NA;exclude;comparisons are between pairs and groups with no finer grading;
scopus / web of science;Home field advantage, not group size, predicts outcomes of intergroup conflicts in a social bird;2018;ANIMAL BEHAVIOUR;143;;205-213;Strong, Meghan J. and Sherman, Benjamin L. and Riehl, Christina;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Experimental evidence for helping and hindering by previous offspring in the cooperative breeding Seychelles warbler Acrocephalus sechellensis;1994;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;34;3;175-186;Komdeur, J;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Cooperative breeding in a population of white-browed sparrow weavers Plocepasser mahali;1982;IBIS;124;4;511-522;Lewis, DM;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Cooperative breeding helps brown-headed nuthatches (Sitta pusilla) face heterospecific competition;2019;;;;;Niemasik, Esther Leah;yes;no;NA;NA;exclude;nest box manipulation experiment;
scopus / web of science;Reproduction of the red-cockaded woodpecker in central Florida;1992;WILSON BULLETIN;104;2;285-294;DeLotelle, RS and Epting, RJ;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Natal territory size, group size, and body mass affect lifetime fitness in the cooperatively breeding Florida Scrub-Jay;2015;AUK;132;3;634-646;Mumme, Ronald L. and Bowman, Reed and Pruett, M. Shane and Fitzpatrick, John W.;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Geographic variation social behaviour of white-browed sparrow-weavers, Plocepasser mahali;1988;SOUTH AFRICAN JOURNAL OF ZOOLOGY;23;1;6.Jan;Ferguson, JWH;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;A quadratic correlation between long-term mean group size and group density in a cooperatively breeding passerine;2017;ECOLOGY AND EVOLUTION;7;21;8719-8729;Ke, Dian-Hua and Deng, Yan-Hui and Guo, Wei-Bin and Huang, Zu-Hao;yes;no;NA;NA;exclude;group size and territory reported at the 'subpopulation' level;
scopus / web of science;Breeding biology of American crows;1990;WILSON BULLETIN;102;4;615-622;Chamberlain-Auger, JA and Auger, PJ, and Strauss, EG;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Demography and the evolution of cooperative breeding in the bicolored wren, Campylorhynchus griseus;1986;BEHAVIOUR;97;;308-324;Austad, SN and Rabenold, KN;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;The social behaviour of the dunnock Prunella modularis;1981;IBIS;123;1;75-84;Birkhead, ME;yes;no;NA;NA;exclude;Figure 4 has data, but contrast is between pairs and groups, with no finer grading;
scopus / web of science;Helpers at the Nest Improve Late-Life Offspring Performance: Evidence from a Long-Term Study and a Cross-Foster Experiment;2012;PLOS ONE;7;4;;Brouwer, Lyanne and Richardson, David S. and Komdeur, Jan;yes;no;NA;NA;exclude;Chi squared statistic of helper number vs territory quality reported in the results, but not group size;
scopus / web of science;Breeding biology of the red-bellied grackle (Hypopyrrhus pyrohypogaster): a cooperative breeder of the Colombian andes;2012;WILSON JOURNAL OF ORNITHOLOGY;124;3;538-546;Ocampo, David and Camila Estrada-F, M. and Munoz, Jenny M. and Londono, Laura V. and David, Santiago and Valencia, Giovanny and Morales, Paula A. and Garizabal, Jaime A. and Cuervo, Andres M.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Habitat saturation and communal breeding in the acorn woodpecker;1979;ANIMAL BEHAVIOUR;27;;1153-1166;Stacey, PB;yes;no;NA;NA;exclude;mean group size compared between two locations;
scopus / web of science;Territory quality drives intraspecific patterns of extrapair paternity;2007;BEHAVIORAL ECOLOGY;18;6;1058-1064;Rubenstein, Dustin R.;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Territory configuration moderates the frequency of extra-group mating in superb fairy-wrens;2014;MOLECULAR ECOLOGY;23;22;5619-5627;Bain, Glen C. and Hall, Michelle L. and Mulder, Raoul A.;yes;no;NA;NA;exclude;group size info for each territory available in the supp info but no measure of territory quality (clustered vs linear).;
scopus / web of science;The Behaviours of Sentinels and Benefits of Philopatry in Helpers of the Cooperatively Breeding Chestnut-Crowned Babbler (Pomatostomus ruficeps);2019;;;;;Hollis, Richard;yes;no;NA;NA;exclude;no relationship between group size and habitat reported in chapter 2, but not enough information provided to calculate an effect size;
scopus / web of science;The benefits-of-philopatry hypothesis for the evolution of cooperative breeding: variation in territory quality and group size effects;1991;AMERICAN NATURALIST;137;6;831-846;Stacey, PB and Ligon, JD;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Reproduction and social organisation of the black-capped Donacobius (Donacobius atricapillus) in southeastern Peru;1984;AUK;101;4;804-811;Kiltie, RA and Fitzpatrick, JW;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Sex biased natal dispersal is not a fixed trait in a stable population of Seychelles warblers;2010;BEHAVIOUR;147;12;1577-1590;Eikenaar, Cas and Brouwer, Lyanne and Komdeur, Jan and Richardson, David S.;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Positive effects of helpers on reproductive success in the brown treecreeper and the general importance of future benefits;2007;JOURNAL OF ANIMAL ECOLOGY;76;5;966-976;Doerr, Erik D. and Doerr, Veronica A. J.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;The behaviorial ecology and conservation of an Australian passerine, the brown treecreeper (Climacteris picumnus);2000;;;;;Cooper, Caren Beth;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Investigating social and environmental predictors of natal dispersal in a cooperative breeding bird;2020;BEHAVIORAL ECOLOGY;31;3;692-701;Suh, Young Ha and Pesendorfer, Mario B. and Tringali, Angela and Bowman, Reed and Fitzpatrick, John W.;yes;no;NA;NA;exclude;predictors of dispersal investigated, not the relationship between group size and territory quality;
scopus / web of science;Helping does not enhance reproductive success of cooperatively breeding rufous vanga in Madagascar;2002;JOURNAL OF ANIMAL ECOLOGY;71;1;123-130;Eguchi, K and Yamagishi, S and Asai, S and Nagata, H and Hino, T;yes;no;NA;NA;exclude;territory size / quality not measured;
scopus / web of science;Male and female helpers of Grey-crowned Babblers Pomatostomus temporalis rubecula acquire breeding positions in different ways, and don't avoid incest;2021;ORNITHOLOGICAL SCIENCE;20;1;2024-03-13;Mikami, Katsura and Yamaguchi, Noriyuki and Noske, Richard A. and Eguchi, Kazuhiro;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Sociality and cooperative breeding of red-cockaded woodpeckers, Picoides borealis;1987;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;20;2;77-88;Lennartz, MR, Hooper, RG, and Harlow, RF;yes;no;NA;NA;exclude;Table 5 has raw data but comparisons are between pairs and groups with no finer grading;
scopus / web of science;The role of territoriality in the social organization of Harris hawks;1991;AUK;108;3;661-672;Dawson, JW and Manna, RW;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Structural equation modeling reveals determinants of fitness in a cooperatively breeding bird;2022;BEHAVIORAL ECOLOGY;33;2;352-363;Busana, Michela and Weissing, Franz J. and Hammers, Martijn and Bakker, Joke and Dugdale, Hannah L. and Pant, Sara Raj and Richardson, David S. and Burke, Terrence A. and Komdeur, Jan;yes;no;NA;NA;exclude;not possible to extract data from figures and supplementary info does not contain raw data;
scopus / web of science;The demography and cooperative breeding behaviour of the rufous treecreeper, Climacteris rufa;2001;AUSTRALIAN JOURNAL OF ZOOLOGY;49;5;515-537;Luck, GW;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Alloparenting in the rare Sichuan jay Perisoreus internigrans;2009;CONDOR;111;4;662-667;Jing, Yu and Fang, Yun and Strickland, Dan and Lu, Nan and Sun, Yue-Hua;yes;no;NA;NA;exclude;no usable data or results reported;
